TOA5,LVDT 데이터_스무딩
2025-05-31 13:50,0.23065514027128356
2025-05-31 13:55,0.23493158442055234
2025-05-31 14:00,0.23884379214617887
2025-05-31 14:05,0.2439580744481949
2025-05-31 14:10,0.2478845146650317
2025-05-31 14:15,0.24885045106449677
2025-05-31 14:20,0.24838749311821676
2025-05-31 14:25,0.2513217457667823
2025-05-31 14:30,0.2596007241500566
2025-05-31 14:35,0.2612203064966406
2025-05-31 14:40,0.26358015024800574
2025-05-31 14:45,0.26414418335034506
2025-05-31 14:50,0.26880213458236096
2025-05-31 14:55,0.27076468326441344
2025-05-31 15:00,0.27207063521883196
2025-05-31 15:05,0.27063908720966234
2025-05-31 15:10,0.2699093967648897
2025-05-31 15:15,0.2705894890459625
2025-05-31 15:20,0.2745480441247709
2025-05-31 15:25,0.27703889320967917
2025-05-31 15:30,0.27998341678825023
2025-05-31 15:35,0.2829263382648636
2025-05-31 15:40,0.2875378023238903
2025-05-31 15:45,0.28769015930716146
2025-05-31 15:50,0.29362642186545546
2025-05-31 15:55,0.29162121649054934
2025-05-31 16:00,0.291879504
2025-05-31 16:05,0.2904319470781712
2025-05-31 16:10,0.2932243904001731
2025-05-31 16:15,0.2962544400070752
2025-05-31 16:20,0.2978977451142848
2025-05-31 16:25,0.29497572961176394
2025-05-31 16:30,0.2958178351815442
2025-05-31 16:35,0.29481988
2025-05-31 16:40,0.2972075042455377
2025-05-31 16:45,0.3023818187643677
2025-05-31 16:50,0.3062233592290934
2025-05-31 16:55,0.3096087812664425
2025-05-31 17:00,0.30816763521008933
2025-05-31 17:05,0.30690256015889505
2025-05-31 17:10,0.30564390808009506
2025-05-31 17:15,0.3053390921616101
2025-05-31 17:20,0.31303105164882006
2025-05-31 17:25,0.3131027122129347
2025-05-31 17:30,0.3149413834586999
2025-05-31 17:35,0.3101859749081366
2025-05-31 17:40,0.3155699929215878
2025-05-31 17:45,0.3107188660613295
2025-05-31 17:50,0.31051470001365683
2025-05-31 17:55,0.30516092968516834
2025-05-31 18:00,0.3021725143387795
2025-05-31 18:05,0.3052834147492086
2025-05-31 18:10,0.30855154253286043
2025-05-31 18:15,0.3100860561783995
2025-05-31 18:20,0.30800489369321926
2025-05-31 18:25,0.3039506057401525
2025-05-31 18:30,0.2990954940153884
2025-05-31 18:35,0.29590983078887195
2025-05-31 18:40,0.29723637703572947
2025-05-31 18:45,0.2953516147730956
2025-05-31 18:50,0.29715656614201863
2025-05-31 18:55,0.2988494810645787
2025-05-31 19:00,0.3005987113274107
2025-05-31 19:05,0.3014874584545505
2025-05-31 19:10,0.29865343913028825
2025-05-31 19:15,0.3050198544125925
2025-05-31 19:20,0.3076595096402509
2025-05-31 19:25,0.3093759842003281
2025-05-31 19:30,0.31304957486036455
2025-05-31 19:35,0.3137740278881915
2025-05-31 19:40,0.3103770095455809
2025-05-31 19:45,0.3122915417755028
2025-05-31 19:50,0.3108381877022314
2025-05-31 19:55,0.3089042904290093
2025-05-31 20:00,0.3140574805052979
2025-05-31 20:05,0.31393410117707377
2025-05-31 20:10,0.313097676
2025-05-31 20:15,0.3176574560368312
2025-05-31 20:20,0.3204702868344738
2025-05-31 20:25,0.3208117384553639
2025-05-31 20:30,0.31775153728961664
2025-05-31 20:35,0.31605451224730685
2025-05-31 20:40,0.3207969932915272
2025-05-31 20:45,0.3221520482144951
2025-05-31 20:50,0.322453106
2025-05-31 20:55,0.3244989557207794
2025-05-31 21:00,0.3322438603083247
2025-05-31 21:05,0.3325132552089798
2025-05-31 21:10,0.3322844022265942
2025-05-31 21:15,0.3334066222155833
2025-05-31 21:20,0.33945539893791504
2025-05-31 21:25,0.3419048205791081
2025-05-31 21:30,0.3405200510341926
2025-05-31 21:35,0.3395114375514852
2025-05-31 21:40,0.34303995350987665
2025-05-31 21:45,0.34459522748387594
2025-05-31 21:50,0.34770302272941944
2025-05-31 21:55,0.34908677275490735
2025-05-31 22:00,0.3465421571282964
2025-05-31 22:05,0.3490455870829421
